#,Date,Away,Home,Result,W. Pitcher,L. Pitcher,Boxscore,AwayGameNo,HomeGameNo,away_prob,home_prob
58.0,Sep  57:17 PM,S Maryland,Gastonia,7-6,"Briceño, E","Horvath, N",final|,56,58,,0.0
58.0,Sep  57:04 PM,Charleston,Lexington,2-6,"Eastman, C","de Avila, L",final|,58,58,0.0,0.0
58.0,Sep  57:00 PM,Hagerstown,Staten Island,4-6,"Helvey, C","Martinez, Q",final|,58,58,0.0,0.0
58.0,Sep  56:39 PM,Long Island,High Point,2-3,"Del Bonta-Smith, F","Sandberg, R",final|,58,58,0.636,1.0
58.0,Sep  56:39 PM,Lancaster,York,3-8,"Vallimont, C","Swarmer, M",final|,56,57,0.0,0.364
58.0,Sep  96:37 PM,High Point,S Maryland,1-6,"Miller, J","Gilbert, J",final|,58,58,1.0,
58.0,Sep  96:33 PM,Lancaster,Hagerstown,6-2,"White, B","Imhoff, A",final|,57,57,0.0,0.0
59.0,Sep 106:38 PM,High Point,S Maryland,9-5,"Hess, D","McCabe, B",final|,59,59,1.0,
59.0,Sep 106:34 PM,Lexington,Long Island,6-2,"Ferrer, B","Griffin, D",final|,61,59,0.0,0.636
59.0,Sep 136:58 PM,Lexington,Lancaster,3-6,"Sullivan, B","Wicklander, P",final|,62,58,0.0,0.0
59.0,Sep 106:39 PM,Gastonia,Charleston,6-3,"Wells, N","Campbell, M",final|,59,59,0.0,0.0
59.0,Sep  66:36 PM,Hagerstown,Staten Island,17-8,"Jackson, J","Lepard, T",final|,59,59,0.0,0.0
59.0,Sep  68:01 PM,Long Island,High Point,10-7,"Santos, R","Cotter, C",final|,59,59,0.636,1.0
59.0,Sep  66:38 PM,Lancaster,York,8-7,"Gilliam, R","Cellucci, B",final|,58,58,0.0,0.364
59.0,Sep  67:30 PM,S Maryland,Gastonia,5-7,"Underwood Jr., D","Overton, C",final|,57,59,,0.0
59.0,Sep  67:04 PM,Charleston,Lexington,6-8,"Beggs, D","Davis, M",final|,59,59,0.0,0.0
60.0,Sep 142:01 PM,Lexington,Lancaster,7-8,"Diehl, P","Loper, J",final|,63,59,0.0,0.0
60.0,Sep 116:43 PM,Gastonia,Charleston,13-4,"Newsome, L","de Avila, L",final|,60,60,0.0,0.0
60.0,Sep 116:39 PM,Lexington,Long Island,1-10,"Sandberg, R","Eastman, C",final|,64,60,0.0,0.636
60.0,Sep 116:36 PM,High Point,S Maryland,9-12,"Thompson, C","McGrane, J",final|,60,60,1.0,
60.0,Sep 116:34 PM,Lancaster,Hagerstown,7-2,"Swarmer, M","Martinez, Q",final|,59,58,0.0,0.0
60.0,Sep  74:07 PM,Long Island,High Point,2-6,"Wereski, B","Melville, T",final|,60,60,0.636,1.0
60.0,Sep  71:03 PM,Lancaster,York,1-2,"Scott, B","Killgore, K",final|,60,59,0.0,0.364
60.0,Sep  71:35 PM,Hagerstown,Staten Island,1-2,"Baker, R","Kelly, R",final|,60,60,0.0,0.0
60.0,Sep  72:05 PM,Charleston,Lexington,4-15,"Wicklander, P","Diaz, A",final|,60,60,0.0,0.0
60.0,Sep  74:01 PM,S Maryland,Gastonia,5-8,"Hennen, R","McCabe, B",final|,58,60,,0.0
61.0,Sep 166:47 PM,Long Island,Lancaster,8-5,"Dominguez, M","Green, M",final|,61,60,0.636,0.0
61.0,Sep 166:50 PM,S Maryland,Lexington,5-1,"Vazquez, R","Gregersen, S",final|,59,61,,0.0
61.0,Sep 166:33 PM,Hagerstown,Gastonia,2-8,"Stem, C","Weisenburger, J",final|,61,61,0.0,0.0
61.0,Sep 166:32 PM,York,Staten Island,2-3,"McKenna, B","Robinson, C",final|,58,61,0.364,0.0
61.0,Sep 166:41 PM,Charleston,High Point,5-12,"Uelmen, E","Campbell, M",final|,61,61,0.0,1.0
61.0,Sep 126:41 PM,High Point,S Maryland,5-9,"Overton, C","Scolaro, J",final|,61,61,1.0,
61.0,Sep  96:38 PM,Staten Island,York,7-6,"Scott, W","Miranda, K",final|,58,60,0.0,0.364
61.0,Sep 126:39 PM,Gastonia,Charleston,7-1,"Grey, C","Davis, M",final|,61,61,0.0,0.0
61.0,Sep 126:36 PM,York,Long Island,1-4,"Clenney, N","Bennett, N",final|,59,61,0.364,0.636
61.0,Sep 126:38 PM,Staten Island,Hagerstown,14-9,"Hernandez, L","Minaya, J",final|,59,59,0.0,0.0
62.0,Sep 136:38 PM,High Point,S Maryland,2-1,"Wereski, B","Virbitsky, K",final|,62,62,1.0,
62.0,Sep 1711:04 AM,S Maryland,Lexington,1-4,"Eastman, C","Thurman, A",final|,60,62,,0.0
62.0,Sep 106:36 PM,Staten Island,York,3-15,"Kickham, M","Kehoe, R",final|,60,61,0.0,0.364
62.0,Sep 1712:32 PM,Hagerstown,Gastonia,14-13,"Reyes, C","Bordner, S",final|,62,62,0.0,0.0
62.0,Sep 176:37 PM,Charleston,High Point,1-8,"Hendrickson, J","Davis, M",final|,62,62,0.0,1.0
62.0,Sep 176:49 PM,Long Island,Lancaster,4-5,"McAvene, M","Santos, R",final|,62,61,0.636,0.0
62.0,Sep 136:41 PM,Gastonia,Charleston,10-4,"King, T","Diaz, A",final|,62,62,0.0,0.0
62.0,Sep 136:38 PM,York,Long Island,2-5,"Jacobson, T","Cellucci, B",final|,60,62,0.364,0.636
62.0,Sep 136:02 PM,Staten Island,Hagerstown,0-3,"Henriquez, J","Allegretti, C",final|,61,60,0.0,0.0
62.0,Sep 176:32 PM,York,Staten Island,9-1,"Bennett, N","Roe, N",final|,61,62,0.364,0.0
63.0,Sep 1810:37 AM,York,Staten Island,15-10,"Scott, B","Lepard, T",final|,62,63,0.364,0.0
63.0,Sep 186:33 PM,Hagerstown,Gastonia,0-6,"Westcott, Z","Henriquez, J",final|,63,63,0.0,0.0
63.0,Sep 186:36 PM,Charleston,High Point,3-2,"Kruglewicz, P","McGrane, J",final|,63,63,0.0,1.0
63.0,Sep 116:37 PM,Staten Island,York,5-3,"McKenna, B","Burnette, J",final|,62,62,0.0,0.364
63.0,Sep 142:07 PM,High Point,S Maryland,0-1,"Blanchard, J","Gilbert, J",final|,63,63,1.0,
63.0,Sep 142:05 PM,Staten Island,Hagerstown,4-5,"Kelly, R","Snead, K",final|,63,61,0.0,0.0
63.0,Sep 141:39 PM,York,Long Island,5-3,"Miranda, K","Hillman, J",final|,63,63,0.364,0.636
63.0,Sep 186:50 PM,Long Island,Lancaster,5-1,"Asa, J","McCollough, L",final|,63,62,0.636,0.0
63.0,Sep 143:08 PM,Gastonia,Charleston,14-12,"Westcott, Z","Bacon, T",final|,63,63,0.0,0.0
63.0,Sep 187:10 PM,S Maryland,Lexington,9-3,"Overton, C","Beggs, D",final|,61,63,,0.0
,Apr 257:10 PM,York,Gastonia,5-4,"Churchill, I","Hasler, K",final|,64,64,0.364,0.0
,May  41:02 PM,Long Island,York,2-4,"Denoyer, N","Plesac, Z",final|,64,63,0.636,0.364
,May  811:03 AM,S Maryland,Lancaster,5-4,"Scrubb, A","Diehl, P",final|,62,63,,0.0
,May  96:35 PM,York,Hagerstown,8-6,"Llovera, M","Kelly, R",final|,65,62,0.364,0.0
,May 1411:05 AM,Lancaster,Hagerstown,7-2,"Skirrow, N","Richardson, D",final|,61,63,0.0,0.0
,May 226:19 PM,Long Island,Staten Island,,,,Cancelled,65,64,0.636,0.0
,May 291:20 PM,Lancaster,Staten Island,2-1,"Johnson, K","Williamson, R",final|,62,65,0.0,0.0
,May 294:03 PM,York,Hagerstown,4-2,"Dula, H","Kelly, R",final|,66,64,0.364,0.0
,May 316:06 PM,Gastonia,S Maryland,3-4,"McCabe, B","Horvath, N",final|,64,64,0.0,
,Jun 231:07 PM,Charleston,S Maryland,16-8,"Demurias, E","Wright, J",final|,64,65,0.0,
,Jul  25:04 PM,Hagerstown,S Maryland,0-2,"Semple, S","Kickham, M",final|,64,66,0.0,
,Jul  26:32 PM,Lancaster,York,5-4,"Engler, S","Churchill, I",final|,63,64,0.0,0.364
,Jul 104:59 PM,S Maryland,Lancaster,6-2,"Thurman, A","Sullivan, B",final|,63,64,,0.0
,Jul 1711:07 AM,High Point,York,22-12,"Blair, D","Morales, J",final|,64,65,1.0,0.364
,Jul 295:09 PM,S Maryland,Charleston,2-3,"Moscatiello, F","McCabe, B",final|,64,64,,0.0
,Aug  45:34 PM,Staten Island,Long Island,4-5,"Santos, R","Baker, R",final|,64,64,0.0,0.636
,Aug  74:05 PM,Long Island,York,3-4,"Kickham, M","Hillman, J",final|,66,66,0.636,0.364
,Aug  87:39 PM,S Maryland,High Point,0-4,"Scolaro, J","Chatham, C",final|,65,64,,1.0
,Aug 298:02 PM,Lexington,S Maryland,1-2,"McCabe, B","Luna, G",final|,65,67,0.0,
,Sep 106:32 PM,Lancaster,Hagerstown,5-2,"Bremer, N","Weisenburger, J",final|,64,65,0.0,0.0
